horizon,corridor,method,split,eligible_days,signal_count,target_positives,signal_hit_rate,random_hit_rate,freq_matched_hit_rate,lift,lift_freq_matched,bps_forward,signals_per_week,cluster_share,brier_score,lift_ci_low,lift_ci_high,bps_ci_low,bps_ci_high,experiment,feature_groups
1,RUB->AMD,logreg,y2022,247,0,124,,0.5020242914979757,,,,,0.0,,0.29534214499062955,,,,,incumbent_ab,"A,B"
1,RUB->KGS,logreg,y2022,247,0,123,,0.4979757085020243,,,,,0.0,,0.2656288536035526,,,,,incumbent_ab,"A,B"
1,RUB->KZT,logreg,y2022,247,0,116,,0.46963562753036436,,,,,0.0,,0.2895608757657317,,,,,incumbent_ab,"A,B"
1,RUB->TJS,logreg,y2022,247,0,131,,0.5303643724696356,,,,,0.0,,0.29387557956900157,,,,,incumbent_ab,"A,B"
1,RUB->UZS,logreg,y2022,247,0,119,,0.4817813765182186,,,,,0.0,,0.27559281322537205,,,,,incumbent_ab,"A,B"
1,RUB->AMD,logreg,wf_oos,656,39,353,0.5128205128205128,0.538109756097561,0.5302564102564103,0.9530035592358538,0.9671179883945838,6.520552593954417,0.2834890965732087,0.07692307692307693,0.2509795021179303,0.6176256527714153,1.3006071615335915,-24.439083942538392,42.239824738205485,incumbent_ab,"A,B"
1,RUB->KGS,logreg,wf_oos,656,35,348,0.5714285714285714,0.5304878048780488,0.5508571428571428,1.0771756978653528,1.037344398340249,20.937346723057548,0.2544132917964693,0.02857142857142857,0.24860598652221616,0.6888726817595012,1.4572361398424893,-0.16895256415525273,51.26228354041252,incumbent_ab,"A,B"
1,RUB->KZT,logreg,wf_oos,656,29,333,0.5862068965517241,0.5076219512195121,0.4855172413793104,1.1548099823961893,1.2073863636363633,33.75848703603663,0.2107995846313603,0.10344827586206896,0.24923197373992406,0.7739617108451277,1.4995575360419395,6.996366295278435,68.61473277506808,incumbent_ab,"A,B"
1,RUB->TJS,logreg,wf_oos,656,35,361,0.6571428571428571,0.5503048780487805,0.54,1.1941432528690146,1.2169312169312168,34.85379521177306,0.2544132917964693,0.02857142857142857,0.2478478892435275,0.9108074830779452,1.40690098473183,6.61910750083277,62.0507550340505,incumbent_ab,"A,B"
1,RUB->UZS,logreg,wf_oos,656,35,345,0.6571428571428571,0.5259146341463414,0.5245714285714286,1.2495238095238097,1.252723311546841,15.304567247608913,0.2544132917964693,0.0,0.24892256253151918,0.9788474254285082,1.459751725736992,-13.597142972362152,42.26349492430847,incumbent_ab,"A,B"
